"exetastiki","year","day","date","fulldate","class","course","time","place"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β7","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β8 ","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β9","Διδακτική Ποδοσφαίρου Ι","12.00-13.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β10 ","Διδακτική Ποδοσφαίρου Ι","12.00-13.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β3","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β4","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β5","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β6","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β7","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","Β8","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","Β1","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","Β2","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","Β3","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","Β9","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","Β10","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Παρασκευή","05/02/2016","Παρασκευή 05/02/2016","Β6","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Παρασκευή","05/02/2016","Παρασκευή 05/02/2016","Β8","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β1","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β2","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β3","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β4","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β5 ","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β6","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β7","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β8","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β9","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","Β10 ","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ"
