"auth-id","title","rensponsible","day","time","classroom","place","team","teacher","url","semester","team-description"
"021","Αεροβική γυμναστική","Τζέτζης","Πέμπτη","12.30-14.00","Τένις","Θέρμης",6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=116","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ017","Ακροβατική Γυμναστική","Στεφανίδης ","Πέμπτη","12.30-14.00","Πανεπιστημιακό γυμναστήριο","ΑΠΘ",6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=114","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"029","Αντισφαίριση","Γρούιος","Παρασκευή","12.30-14.00","Γήπεδα  Θέρμης","Θέρμης",6,"Μαβίδης Σδούκος","http://www.phed.auth.gr/etefaa/course/view.php?id=111","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0173","Άρση βαρών","Κέλλης","Δευτέρα","12.30-14.00","Αλεξάνδρειο","ΑΠΘ",6,"Ζαρζαβατσίδη Καζακλή","http://www.phed.auth.gr/etefaa/course/view.php?id=110","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0173","Άρση βαρών","Κέλλης","Δευτέρα","12.30-14.00","Αλεξάνδρειο","ΑΠΘ",6,"Ζαρζαβατσίδη Καζακλή","http://www.phed.auth.gr/etefaa/course/view.php?id=110","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0239","Εισαγωγή στη Χρήση Υ/Π","Τσορμπατζούδης","Παρασκευή","12.30-14.00","Αίθουσα Συνεδριάσεων Θέρμης","Θέρμης",6,"Αρδαμερινός    ",,"autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"009","Εκμάθηση Κολύμβησης","Αλεξίου","Τετάρτη","12.30-14.00","Εθνικό Κολυμβητήριο",,6,"Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=108","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"047","Ιστιοπλοΐα","Αλεξίου","Πέμπτη","12.30-14.00","Πλαζ Αρετσού",,6,"Κώστας","http://www.phed.auth.gr/etefaa/course/view.php?id=104","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0115","Καράτε","Ζαγγελίδης","Πέμπτη","12.30-14.00","Πανεπ. Γυμν. Αίθουσα 45 ","ΑΠΘ",6,"Zαγγελίδης","http://www.phed.auth.gr/etefaa/course/view.php?id=103","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"07Α","Κρίκετ","Γιαννακός","e-τεφαα",,,,6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=100","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"059","Καταδύσεις","Αλεξίου","Τρίτη","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ",6,"Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=102","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"017","Οργάνωση Κατασκηνώσεων","ΙωαννίδουΙωαννίδου","Τετάρτη","12.30-14.00","ΤΑΞΥΠ 3 ","ΑΠΘ",6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=101","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"033","Κωπηλασία","Αλεξίου","Τετάρτη","12.30-14.00","ΟΦΘ ",,6,"Αργυράκης  ","http://www.phed.auth.gr/etefaa/course/view.php?id=99","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0180","Μαχητικά Αθλήματα - Αυτοάμυνα","Ζαγγελίδης","Δευτέρα","12.30-14.00","Παν/κό Γυμν. Αίθουσα 45","ΑΠΘ",6,"Ζαγγελίδης","http://www.phed.auth.gr/etefaa/course/view.php?id=76","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"049","Ναυαγοσωστική","Κουτλιάνος","Τετάρτη","12.30-14.00","Εθνικό Κολυμβητήριο ","ΑΠΘ",6,"Κουτλιάνος","http://www.phed.auth.gr/etefaa/course/view.php?id=97","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"053","Ορειβασία","Θώμογλου","e-τεφαα",,,,6,"Θώμογλου","http://www.phed.auth.gr/etefaa/course/view.php?id=95","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"034","Παιδαγωγικά Παιχνίδια","Χατζόπουλος","Τετάρτη","12.30-14.00","Παν/κό  Γυμν. Αίθουσα 18","ΑΠΘ",6,"Χατζόπουλος Μπαρκούκης","http://www.phed.auth.gr/etefaa/course/view.php?id=94","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"035","Πάλη","Κοτζαμανίδης","e-τεφαα",,"Παν/κό Γυμν. ",,6,"Πάχτας ","http://www.phed.auth.gr/etefaa/course/view.php?id=93","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
