"course","url","team",
"Πυγμαχία","http://www.phed.auth.gr/etefaa/course/view.php?id=126",7,
"Ρυθμική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=125",7,
"Ταεκβοντό","http://www.phed.auth.gr/etefaa/course/view.php?id=124",7,
"Τζούντο","http://www.phed.auth.gr/etefaa/course/view.php?id=123",7,
"Υδατοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=122",7,
"Χειμερινά Αθλήματα - Χιονοδρομία","http://www.phed.auth.gr/etefaa/course/view.php?id=121",7,
"Χειροσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=120",7,
"Υπαίθριες Αθλητικές Δραστηριότητες","http://www.phed.auth.gr/etefaa/course/view.php?id=141",7,"φυσική δραστηριοτητΑ"
"Αθλητικές Δραστηριότητες Κλειστού Χώρου","http://www.phed.auth.gr/etefaa/course/view.php?id=140",7,"φυσική δραστηριοτητΑ"
"Ελληνικοί Παραδοσιακοί Χοροί","http://www.phed.auth.gr/etefaa/course/view.php?id=139",7,"φυσική δραστηριοτητΑ"
"Ειδική Φυσική Αγωγή - Θεραπευτική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=138",7,"φυσική δραστηριοτητΑ"
