"exetastiki","year","day","date","fulldate","class","course","time","place","type"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B6","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B7","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B8","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","B1","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","B2","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","B3","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","B9","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Πέμπτη","04/02/2016","Πέμπτη 04/02/2016","B10","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Παρασκευή","05/02/2016","Παρασκευή 05/02/2016","B6","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Παρασκευή","05/02/2016","Παρασκευή 05/02/2016","B8","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B1","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B2","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B3","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B4","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B5","Διδακτική της ΡυθμικήςΓυμναστικής Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B6","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B7","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B8","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B9","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","08/02/2016","Δευτέρα 08/02/2016","B10","Διδακτική της ΡυθμικήςΓυμναστικής Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","B1","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","B5","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","B6","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
